名詞,property,財産,1,1
名詞,instrument,楽器,1,2
名詞,passenger,乗客,1,3
名詞,contract,契約,1,4
名詞,benefit,給付金,1,5
名詞,profit,利益,1,6
名詞,figure,数字,1,7
名詞,degree,学位,1,8
名詞,equipment,装置,1,9
名詞,saving,貯金,1,10
名詞,stock,株,1,11
名詞,insurance,保険,1,12
名詞,audience,聴衆,1,13
名詞,bill,請求書,1,14
名詞,expense,費用,1,15
名詞,raise,賃上げ,1,16
名詞,authority,権威,2,17
名詞,disease,病気,2,18
名詞,fine,罰金,2,19
名詞,concern,懸念,2,20
名詞,fare,運賃,2,21
名詞,temperature,温度,2,22
名詞,vehicle,乗り物,2,23
名詞,proposal,提案,2,24
名詞,influence,影響,2,25
名詞,notice,通知,2,26
名詞,custom,税関,2,27
名詞,statement,報告書,2,28
名詞,duty,職務,2,29
名詞,department,部,2,30
名詞,opportunity,機会,2,31
名詞,section,区域,2,32
名詞,balance,残高,3,33
名詞,purpose,目的,3,34
名詞,honor,光栄,3,35
名詞,drawer,引き出し,3,36
名詞,measure,対策,3,37
名詞,operation,営業,3,38
名詞,government,政府,3,39
名詞,issue,問題,3,40
名詞,medicine,薬,3,41
名詞,interview,面接,3,42
名詞,competition,競争,3,43
名詞,trade,貿易,3,44
名詞,device,装置,3,45
名詞,subject,主題,3,46
名詞,shot,注射,3,47
名詞,credit,信用貸し,3,48
名詞,performance,実績,4,49
名詞,product,製品,4,50
名詞,demand,需要,4,51
名詞,effect,影響,4,52
名詞,quality,品質,4,53
名詞,application,申し込み,4,54
名詞,chairman,議長,4,55
名詞,illness,病気,4,56
名詞,account,口座,4,57
名詞,stockholder,株主,4,58
名詞,appointment,約束,4,59
名詞,security,警備,4,60
名詞,item,品目,4,61
名詞,attitude,態度,4,62
名詞,pleasure,喜び,4,63
名詞,variety,種類,4,64
名詞,cost,経費,5,65
名詞,description,描写,5,66
名詞,path,小道,5,67
名詞,method,方法,5,68
名詞,cough,せき,5,69
名詞,aim,目標,5,70
名詞,rate,率,5,71
名詞,traffic,交通,5,72
名詞,regulation,規則,5,73
名詞,arrival,到着,5,74
名詞,fee,料金,5,75
名詞,damage,損害,5,76
名詞,pity,残念なこと,5,77
名詞,discount,割引,5,78
名詞,clerk,事務員,5,79
名詞,foundation,基礎,5,80
名詞,position,職務,6,81
名詞,exchange,交換,6,82
名詞,committee,委員会,6,83
名詞,minute,議事録,6,84
名詞,fortune,財産,6,85
名詞,ladder,はしご,6,86
名詞,search,探索,6,87
名詞,luggage,手荷物,6,88
名詞,signature,署名,6,89
名詞,warning,警告,6,90
名詞,graduate,卒業生,6,91
名詞,background,経歴,6,92
名詞,reward,報酬,6,93
名詞,failure,失敗,6,94
名詞,customer,顧客,6,95
名詞,baggage,手荷物,6,96
名詞,patience,忍耐,7,97
名詞,defense,弁護,7,98
名詞,special,特別料理,7,99
名詞,industry,産業,7,100
名詞,toast,乾杯,7,101
名詞,firm,会社,7,102
名詞,detail,詳細,7,103
名詞,location,場所,7,104
名詞,effort,努力,7,105
名詞,responsibility,責任,7,106
名詞,broadcast,放送,7,107
名詞,production,製造,7,108
名詞,opinion,意見,7,109
名詞,grace,猶予,7,110
名詞,complaint,不満,7,111
名詞,organization,組織,7,112
名詞,term,条件,8,113
名詞,view,風景,8,114
名詞,material,材料,8,115
名詞,railing,手すり,8,116
名詞,author,著者,8,117
名詞,challenge,難問,8,118
名詞,fountain,噴水,8,119
名詞,public,一般の人々,8,120
名詞,employee,従業員,8,121
名詞,trend,傾向,8,122
名詞,profession,職業,8,123
名詞,income,収入,8,124
名詞,capital,資本,8,125
名詞,institution,機関,8,126
名詞,client,顧客,8,127
名詞,article,品物,8,128
名詞,export,輸出,9,129
名詞,range,範囲,9,130
名詞,service,貢献,9,131
名詞,offense,違反,9,132
名詞,fund,資金,9,133
名詞,climate,機構,9,134
名詞,defeat,敗北,9,135
名詞,cab,タクシー,9,136
名詞,rent,賃貸料,9,137
名詞,career,職業,9,138
名詞,return,利益,9,139
名詞,option,選択,9,140
名詞,cart,ショッピングカート,9,141
名詞,channel,経路,9,142
名詞,agency,代理店,9,143
名詞,content,内容,9,144
名詞,agreement,協定,10,145
名詞,punishment,処罰,10,146
名詞,ceiling,天井,10,147
名詞,advantage,有利な点,10,148
名詞,furniture,家具,10,149
名詞,scale,はかり,10,150
名詞,attention,注意,10,151
名詞,supply,備品,10,152
名詞,witness,目撃者,10,153
名詞,change,小銭,10,154
名詞,condition,条件,10,155
名詞,analysis,分析,10,156
名詞,crop,農作物,10,157
名詞,result,結果,10,158
名詞,interest,利息,10,159
名詞,branch,支店,10,160
動詞,possess,～を所有する,11,161
動詞,replace,～を取り換える,11,162
動詞,conduct,を行う,11,163
動詞,arrest,～を逮捕する,11,164
動詞,hire,～を雇う,11,165
動詞,accept,～を受け入れる,11,166
動詞,require,～を必要とする,11,167
動詞,increase,増加する,11,168
動詞,avoid,～を避ける,11,169
動詞,feature,～を目玉にする,11,170
動詞,recommend,～を推薦する,11,171
動詞,offend,～の感情を害する,11,172
動詞,remove,～を取り除く,11,173
動詞,attend,～に出席する,11,174
動詞,plant,～を植える,11,175
動詞,describe,～を描写する,11,176
動詞,vote,投票をする,12,177
動詞,recognize,～を見分ける,12,178
動詞,approve,～を承認する,12,179
動詞,review,～を再調査する,12,180
動詞,transfer,～を転任させる,12,181
動詞,dismiss,～を解雇する,12,182
動詞,board,に乗り込む,12,183
動詞,load,～を積む,12,184
動詞,complete,～を完成させる,12,185
動詞,pour,～をつぐ,12,186
動詞,experience,～を経験する,12,187
動詞,suggest,～を提案する,12,188
動詞,reflect,～を映す,12,189
動詞,surround,～を囲む,12,190
動詞,explain,～を説明する,12,191
動詞,statement,～をはっきり述べる,12,192
動詞,fire,～を解雇する,13,193
動詞,occur,起こる,13,194
動詞,claim,～だと主張する,13,195
動詞,determine,を明らかにする,13,196
動詞,admire,～に感心する,13,197
動詞,deserve,に値する,13,198
動詞,bear,～に耐える,13,199
動詞,neglect,～を無視する,13,200
動詞,cause,～を引き起こす,13,201
動詞,accompany,～に同行する,13,202
動詞,explore,～を探検する,13,203
動詞,repair,～を修理する,13,204
